|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Wed Dec  9 11:36:59 2020 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  JUEDE
exp.freq: expected frequency of the word with/in JUEDE
faith: percentage of how many instances of the word occur with/in JUEDE
relation: relation of the word to JUEDE
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: -log10 (Fisher-Yates exact, one-tailed), the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
血腥	1	1	0	attraction	1	0	1	2.45
那爛	1	1	0	attraction	1	0	1	2.45
防身	1	1	0	attraction	1	0	1	2.45
抬出	1	1	0	attraction	1	0	1	2.45
很虧	1	1	0	attraction	1	0	1	2.45
背脊	1	1	0	attraction	1	0	1	2.45
倍感	1	1	0	attraction	1	0	1	2.45
哪裏	1	1	0	attraction	1	0	1	2.45
能許	1	1	0	attraction	1	0	1	2.45
能贏	1	1	0	attraction	1	0	1	2.45
累爆	1	1	0	attraction	1	0	1	2.45
羞恥	1	1	0	attraction	1	0	1	2.45
這台車	1	1	0	attraction	1	0	1	2.45
這會給	1	1	0	attraction	1	0	1	2.45
閉好	1	1	0	attraction	1	0	1	2.45
喇厚	1	1	0	attraction	1	0	1	2.45
痛覺	1	1	0	attraction	1	0	1	2.45
超難	1	1	0	attraction	1	0	1	2.45
會仇	1	1	0	attraction	1	0	1	2.45
獨裁	1	1	0	attraction	1	0	1	2.45
頭型	1	1	0	attraction	1	0	1	2.45
關門	1	1	0	attraction	1	0	1	2.45
89	88	3	0.31	attraction	0.03	0	0.03	2.42
有夠	26	2	0.09	attraction	0.08	0	0.07	2.42
原原	26	2	0.09	attraction	0.08	0	0.07	2.42
頗	26	2	0.09	attraction	0.08	0	0.07	2.42
嘛	181	4	0.64	attraction	0.02	0	0.02	2.4
這點	91	3	0.32	attraction	0.03	0	0.03	2.38
足夠	30	2	0.11	attraction	0.07	0	0.06	2.3
這個	1275	11	4.48	attraction	0.01	0	0.01	2.2
新鮮	35	2	0.12	attraction	0.06	0	0.05	2.17
輸	35	2	0.12	attraction	0.06	0	0.05	2.17
aa	211	4	0.74	attraction	0.02	0	0.02	2.16
不顧一切	2	1	0.01	attraction	0.5	0	0.5	2.15
五折	2	1	0.01	attraction	0.5	0	0.5	2.15
太扯	2	1	0.01	attraction	0.5	0	0.5	2.15
以偏概全	2	1	0.01	attraction	0.5	0	0.5	2.15
四五萬	2	1	0.01	attraction	0.5	0	0.5	2.15
再也不會	2	1	0.01	attraction	0.5	0	0.5	2.15
好好笑	2	1	0.01	attraction	0.5	0	0.5	2.15
自由自在	2	1	0.01	attraction	0.5	0	0.5	2.15
我變	2	1	0.01	attraction	0.5	0	0.5	2.15
並不一定	2	1	0.01	attraction	0.5	0	0.5	2.15
怪怪	2	1	0.01	attraction	0.5	0	0.5	2.15
時機未到	2	1	0.01	attraction	0.5	0	0.5	2.15
康康	2	1	0.01	attraction	0.5	0	0.5	2.15
強人所難	2	1	0.01	attraction	0.5	0	0.5	2.15
理髮店	2	1	0.01	attraction	0.5	0	0.5	2.15
連花	2	1	0.01	attraction	0.5	0	0.5	2.15
話不投機	2	1	0.01	attraction	0.5	0	0.5	2.15
談個	2	1	0.01	attraction	0.5	0	0.5	2.15
獲益	2	1	0.01	attraction	0.5	0	0.5	2.15
值	37	2	0.13	attraction	0.05	0	0.05	2.12
準備	218	4	0.77	attraction	0.02	0	0.01	2.11
重點	232	4	0.82	attraction	0.02	0	0.01	2.02
可悲	43	2	0.15	attraction	0.05	0	0.04	1.99
ㄍ	3	1	0.01	attraction	0.33	0	0.33	1.98
三萬	3	1	0.01	attraction	0.33	0	0.33	1.98
我發	3	1	0.01	attraction	0.33	0	0.33	1.98
我煩	3	1	0.01	attraction	0.33	0	0.33	1.98
言之有物	3	1	0.01	attraction	0.33	0	0.33	1.98
稍早	3	1	0.01	attraction	0.33	0	0.33	1.98
舒服些	3	1	0.01	attraction	0.33	0	0.33	1.98
經痛	3	1	0.01	attraction	0.33	0	0.33	1.98
跟性	3	1	0.01	attraction	0.33	0	0.33	1.98
撐不下去	3	1	0.01	attraction	0.33	0	0.33	1.98
課長	3	1	0.01	attraction	0.33	0	0.33	1.98
不好意思	45	2	0.16	attraction	0.04	0	0.04	1.96
很多	1023	9	3.6	attraction	0.01	0	0.01	1.94
原來	138	3	0.49	attraction	0.02	0	0.02	1.88
不合	51	2	0.18	attraction	0.04	0	0.04	1.85
六個月	4	1	0.01	attraction	0.25	0	0.25	1.85
多一點點	4	1	0.01	attraction	0.25	0	0.25	1.85
更累	4	1	0.01	attraction	0.25	0	0.25	1.85
物以類聚	4	1	0.01	attraction	0.25	0	0.25	1.85
愈來愈	4	1	0.01	attraction	0.25	0	0.25	1.85
寫得	4	1	0.01	attraction	0.25	0	0.25	1.85
胖龍妹	53	2	0.19	attraction	0.04	0	0.03	1.82
尷尬	53	2	0.19	attraction	0.04	0	0.03	1.82
我能	55	2	0.19	attraction	0.04	0	0.03	1.79
咧	56	2	0.2	attraction	0.04	0	0.03	1.78
爽	56	2	0.2	attraction	0.04	0	0.03	1.78
困擾	57	2	0.2	attraction	0.04	0	0.03	1.76
ｒ	5	1	0.02	attraction	0.2	0	0.2	1.76
上帝	5	1	0.02	attraction	0.2	0	0.2	1.76
太貴	5	1	0.02	attraction	0.2	0	0.2	1.76
用性	5	1	0.02	attraction	0.2	0	0.2	1.76
香奈兒	5	1	0.02	attraction	0.2	0	0.2	1.76
格局	5	1	0.02	attraction	0.2	0	0.2	1.76
陶晶瑩	5	1	0.02	attraction	0.2	0	0.2	1.76
普普通通	5	1	0.02	attraction	0.2	0	0.2	1.76
亂槍	5	1	0.02	attraction	0.2	0	0.2	1.76
魯到	5	1	0.02	attraction	0.2	0	0.2	1.76
更	748	7	2.63	attraction	0.01	0	0.01	1.75
給我	155	3	0.54	attraction	0.02	0	0.02	1.75
如果	1686	12	5.93	attraction	0.01	0	0	1.74
一切	157	3	0.55	attraction	0.02	0	0.02	1.74
個性	428	5	1.5	attraction	0.01	0	0.01	1.73
告白	158	3	0.56	attraction	0.02	0	0.02	1.73
好看	59	2	0.21	attraction	0.03	0	0.03	1.73
用	758	7	2.66	attraction	0.01	0	0.01	1.72
如何	285	4	1	attraction	0.01	0	0.01	1.72
相當	61	2	0.21	attraction	0.03	0	0.03	1.71
人生	438	5	1.54	attraction	0.01	0	0.01	1.69
合理	63	2	0.22	attraction	0.03	0	0.03	1.68
加拿大	6	1	0.02	attraction	0.17	0	0.16	1.68
多多	6	1	0.02	attraction	0.17	0	0.16	1.68
好文	6	1	0.02	attraction	0.17	0	0.16	1.68
沒戲	6	1	0.02	attraction	0.17	0	0.16	1.68
品性	6	1	0.02	attraction	0.17	0	0.16	1.68
腦衝	6	1	0.02	attraction	0.17	0	0.16	1.68
過分	6	1	0.02	attraction	0.17	0	0.16	1.68
網美	6	1	0.02	attraction	0.17	0	0.16	1.68
需不需要	6	1	0.02	attraction	0.17	0	0.16	1.68
能	1145	9	4.02	attraction	0.01	0	0	1.66
您	67	2	0.24	attraction	0.03	0	0.03	1.63
一百分	7	1	0.02	attraction	0.14	0	0.14	1.61
不妙	7	1	0.02	attraction	0.14	0	0.14	1.61
不賴	7	1	0.02	attraction	0.14	0	0.14	1.61
米	7	1	0.02	attraction	0.14	0	0.14	1.61
相互	7	1	0.02	attraction	0.14	0	0.14	1.61
